model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.046265,151680,FALSE,FALSE,87,33676,87,1216,1.25218,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.045006,151980,TRUE,FALSE,87,33676,87,1216,1.24264,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.045916,151712,FALSE,FALSE,87,33676,87,1216,1.24158,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,17300,TRUE,TRUE,87,33676,87,1216,1.24628,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.044867,151448,TRUE,FALSE,87,33676,87,1216,1.24446,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000972,17224,FALSE,FALSE,87,33676,66,751,0.329939,32400001,21,0,0,32887,0,0,17,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.042768,148864,FALSE,FALSE,87,33676,64,751,0.327411,0,23,0,0,32902,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.043267,151712,FALSE,FALSE,87,33676,87,1216,1.24245,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.041582,148408,FALSE,FALSE,87,33676,67,810,0.326267,0,20,0,0,32846,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.041515,151432,FALSE,FALSE,87,33676,87,1216,1.24797,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.385165,152444,FALSE,FALSE,87,33676,87,1216,1.24683,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.041932,151652,FALSE,FALSE,87,33676,87,1216,1.24683,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.042819,151712,TRUE,FALSE,87,33676,87,1216,1.24191,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,18924,FALSE,TRUE,87,33676,87,1216,1.24262,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.042323,151508,TRUE,FALSE,87,33676,87,1216,1.24186,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,18616,TRUE,TRUE,87,33676,87,1216,1.24217,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ASLink-PT-01a,1,0.0,14464,FALSE,TRUE,431,735,347,664,0.004505,13135856,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-01a,10,0.045843,148980,FALSE,FALSE,431,735,427,728,0.002601,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,11,0.043517,149532,TRUE,FALSE,431,735,427,728,0.002589,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,12,0.0,15776,TRUE,TRUE,431,735,427,728,0.00259,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,13,0.044876,149540,TRUE,FALSE,431,735,427,728,0.002591,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,14,0.04006,149648,FALSE,FALSE,431,735,427,728,0.002575,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,15,0.0,16056,FALSE,TRUE,431,735,427,728,0.00333,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,16,0.0,2236208,NONE,FALSE,431,735,427,728,0.001486,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,2,0.039803,148920,FALSE,FALSE,431,735,427,728,0.003337,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,3,0.0,14740,TRUE,TRUE,431,735,427,728,0.002586,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,4,0.0,15780,FALSE,TRUE,431,735,427,728,0.00149,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,5,0.042112,148264,TRUE,FALSE,431,735,349,666,0.003427,13861676,62,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,5
ASLink-PT-01a,6,0.0,16272,FALSE,TRUE,431,735,427,728,0.002577,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,7,0.07638,149176,FALSE,FALSE,431,735,427,728,0.002592,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,8,0.0,15784,FALSE,TRUE,431,735,427,728,0.001476,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,9,0.0395,149528,FALSE,FALSE,431,735,427,728,0.002587,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01b,1,0.046019,149008,TRUE,FALSE,846,1148,846,1148,0.003119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.049135,150268,FALSE,FALSE,846,1148,846,1148,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.046684,151568,FALSE,FALSE,846,1148,846,1148,0.001369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.046232,149740,TRUE,FALSE,846,1148,846,1148,0.001368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.073963,149568,FALSE,FALSE,846,1148,846,1148,0.001368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.000861,17376,FALSE,FALSE,846,1148,359,763,0.002447,18432898,455,0,16,4,0,0,0,0,0,0,0,0,1,0,0,0,49
ASLink-PT-01b,15,0.044004,150480,FALSE,FALSE,846,1148,846,1148,0.001375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,1634012,NONE,FALSE,846,1148,846,1148,0.001368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.047861,149740,FALSE,FALSE,846,1148,846,1148,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,15964,FALSE,TRUE,846,1148,345,749,0.003655,13841315,466,0,19,7,0,0,0,0,0,0,0,1,2,0,0,0,48
ASLink-PT-01b,4,0.0,15452,FALSE,TRUE,846,1148,846,1148,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,959804,NONE,FALSE,846,1148,846,1148,0.002408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,1539636,NONE,FALSE,846,1148,846,1148,0.001381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.000526,38760,FALSE,FALSE,846,1148,846,1148,0.001382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,17264,FALSE,TRUE,846,1148,846,1148,0.001371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,17588,TRUE,TRUE,846,1148,846,1148,0.001371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.046816,150888,FALSE,FALSE,626,1008,467,878,0.006648,0,116,0,31,10,0,0,0,0,0,0,0,0,2,0,0,0,9
ASLink-PT-02a,10,0.04129,149824,FALSE,FALSE,626,1008,618,998,0.0019,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,11,0.046224,150488,FALSE,FALSE,626,1008,618,998,0.001895,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,12,0.0,16768,TRUE,TRUE,626,1008,618,998,0.001899,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,13,0.0,16084,FALSE,TRUE,626,1008,618,998,0.001914,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,14,0.045039,149180,FALSE,FALSE,626,1008,618,998,0.001894,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,15,0.0,16748,FALSE,TRUE,626,1008,618,998,0.001906,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,16,0.049646,149116,FALSE,FALSE,626,1008,618,998,0.00333,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,2,0.0,16736,TRUE,TRUE,626,1008,618,998,0.001918,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,3,0.0,14872,TRUE,TRUE,626,1008,470,880,0.004795,0,114,0,30,10,0,0,0,0,0,0,0,0,2,0,0,0,9
ASLink-PT-02a,4,0.045615,149368,FALSE,FALSE,626,1008,618,998,0.001912,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,5,0.0,1300292,NONE,FALSE,626,1008,618,998,0.001913,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,6,42.5859,747772,FALSE,FALSE,626,1008,618,998,0.001904,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,7,0.044682,149720,FALSE,FALSE,626,1008,618,998,0.001898,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,8,0.0,16748,FALSE,TRUE,626,1008,618,998,0.001904,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02a,9,0.040146,149672,TRUE,FALSE,626,1008,618,998,0.001895,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ASLink-PT-02b,1,0.051067,152308,FALSE,FALSE,1242,1621,1242,1621,0.003123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,18020,TRUE,TRUE,1242,1621,1242,1621,0.001776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.0,20152,TRUE,TRUE,1242,1621,1242,1621,0.001765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.0,16588,FALSE,TRUE,1242,1621,478,1005,0.003895,0,708,0,33,10,0,0,0,0,0,0,0,3,2,0,0,0,60
ASLink-PT-02b,13,0.354018,154012,FALSE,FALSE,1242,1621,1242,1621,0.001767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.045092,152432,FALSE,FALSE,1242,1621,1242,1621,0.001762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,0.05397,152164,FALSE,FALSE,1242,1621,1242,1621,0.001759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.000944,17988,FALSE,FALSE,1242,1621,483,1010,0.003945,0,704,0,33,10,0,0,0,0,0,0,0,2,2,0,0,0,60
ASLink-PT-02b,2,0.0,17340,TRUE,TRUE,1242,1621,478,1005,0.003931,0,708,0,33,10,0,0,0,0,0,0,0,3,2,0,0,0,60
ASLink-PT-02b,3,0.0,15004,TRUE,TRUE,1242,1621,481,1007,0.003903,0,707,0,32,10,0,0,0,0,0,0,0,3,2,0,0,0,59
ASLink-PT-02b,4,0.0,16648,TRUE,TRUE,1242,1621,483,1008,0.0039,0,705,0,32,10,0,0,0,0,0,0,0,3,2,0,0,0,60
ASLink-PT-02b,5,0.0453,152368,TRUE,FALSE,1242,1621,1242,1621,0.001759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.0,1626632,NONE,FALSE,1242,1621,1242,1621,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,0.044864,152428,FALSE,FALSE,1242,1621,1242,1621,0.001767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,8,0.054449,153220,FALSE,FALSE,1242,1621,1242,1621,0.001759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,9,0.0,20144,FALSE,TRUE,1242,1621,1242,1621,0.001762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,1,0.0,17328,TRUE,TRUE,821,1281,809,1268,0.005159,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,10,0.0,17392,TRUE,TRUE,821,1281,809,1268,0.002348,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,11,0.0,17004,FALSE,TRUE,821,1281,607,1105,0.00383,0,156,0,42,13,0,0,0,0,0,0,0,0,2,0,0,0,12
ASLink-PT-03a,12,0.0,19576,TRUE,TRUE,821,1281,809,1268,0.002347,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,13,10.0304,224708,FALSE,FALSE,821,1281,809,1268,0.002339,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,14,0.0,15444,FALSE,TRUE,821,1281,620,1113,0.003313,0,148,0,42,13,0,0,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-03a,15,0.0,18992,FALSE,TRUE,821,1281,809,1268,0.002341,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,16,0.0,18992,FALSE,TRUE,821,1281,809,1268,0.002334,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,2,0.0,19628,TRUE,TRUE,821,1281,809,1268,0.002353,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,3,0.0,19604,FALSE,TRUE,821,1281,809,1268,0.002349,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,4,0.040151,149904,FALSE,FALSE,821,1281,600,1100,0.003812,0,161,0,43,13,0,0,0,0,0,0,0,0,2,0,0,0,12
ASLink-PT-03a,5,0.040616,151192,FALSE,FALSE,821,1281,809,1268,0.005251,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,6,0.0358,149696,FALSE,FALSE,821,1281,600,1101,0.003813,0,160,0,44,13,0,0,0,0,0,0,0,0,2,0,0,0,12
ASLink-PT-03a,7,0.0,2608348,NONE,FALSE,821,1281,809,1268,0.002338,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,8,0.0,988184,NONE,FALSE,821,1281,809,1268,0.002341,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03a,9,0.0,18992,FALSE,TRUE,821,1281,809,1268,0.002344,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASLink-PT-03b,1,0.0,21936,TRUE,TRUE,1638,2094,1638,2094,0.002181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,10,0.040708,153392,TRUE,FALSE,1638,2094,1638,2094,0.002167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,11,0.060277,153568,FALSE,FALSE,1638,2094,1638,2094,0.003587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,12,0.042899,151684,FALSE,FALSE,1638,2094,616,1268,0.008262,0,947,0,45,13,0,0,0,0,0,0,0,1,2,0,0,0,72
ASLink-PT-03b,13,0.0,18580,FALSE,TRUE,1638,2094,1638,2094,0.00217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,14,0.035704,153676,FALSE,FALSE,1638,2094,1638,2094,0.002154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,15,0.0,18872,FALSE,TRUE,1638,2094,613,1267,0.004951,0,948,0,47,13,0,0,0,0,0,0,0,1,2,0,0,0,72
ASLink-PT-03b,16,0.0,21708,TRUE,TRUE,1638,2094,1638,2094,0.003286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,2,0.0,1740420,NONE,FALSE,1638,2094,1638,2094,0.002154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,3,0.0,18568,FALSE,TRUE,1638,2094,1638,2094,0.002573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,4,0.0,18584,TRUE,TRUE,1638,2094,1638,2094,0.003228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,5,0.05197,153776,FALSE,FALSE,1638,2094,1638,2094,0.002143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,6,4.22767,188392,FALSE,FALSE,1638,2094,612,1266,0.004919,0,949,0,47,13,0,0,0,0,0,0,0,1,2,0,0,0,72
ASLink-PT-03b,7,0.045113,153568,FALSE,FALSE,1638,2094,1638,2094,0.003565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,8,0.0,18580,FALSE,TRUE,1638,2094,1638,2094,0.002161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,9,0.260414,153944,FALSE,FALSE,1638,2094,1638,2094,0.003539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,1,0.041125,151688,TRUE,FALSE,1016,1554,1000,1538,0.002805,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,10,0.047582,151720,FALSE,FALSE,1016,1554,1000,1538,0.002785,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,11,0.0,20788,FALSE,TRUE,1016,1554,1000,1538,0.002791,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,12,0.0,20264,TRUE,TRUE,1016,1554,1000,1538,0.002772,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,13,0.044953,152060,FALSE,FALSE,1016,1554,1000,1538,0.002788,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,14,0.0,1837912,NONE,FALSE,1016,1554,1000,1538,0.002784,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,15,0.045535,151720,FALSE,FALSE,1016,1554,734,1323,0.004571,0,206,0,55,16,0,0,0,0,0,0,0,0,2,0,0,0,14
ASLink-PT-04a,16,0.0,20504,FALSE,TRUE,1016,1554,1000,1538,0.002786,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,2,0.0,20112,TRUE,TRUE,1016,1554,1000,1538,0.002772,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,3,0.046331,151644,FALSE,FALSE,1016,1554,1000,1538,0.00279,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,4,0.0,1481320,NONE,FALSE,1016,1554,1000,1538,0.00278,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,5,0.043243,152056,FALSE,FALSE,1016,1554,1000,1538,0.00278,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,6,0.0,21016,TRUE,TRUE,1016,1554,1000,1538,0.002784,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,7,0.0,17500,TRUE,TRUE,1016,1554,729,1320,0.004607,0,208,0,57,16,0,0,0,0,0,0,0,0,2,0,0,0,15
ASLink-PT-04a,8,0.0,17652,FALSE,TRUE,1016,1554,1000,1538,0.002771,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04a,9,0.044176,151792,TRUE,FALSE,1016,1554,1000,1538,0.00282,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ASLink-PT-04b,1,43.3736,454828,FALSE,FALSE,2034,2567,2034,2567,0.004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,10,0.0,23948,FALSE,TRUE,2034,2567,2034,2567,0.004454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,11,0.060745,155176,FALSE,FALSE,2034,2567,2034,2567,0.004433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,12,0.03655,155684,TRUE,FALSE,2034,2567,2034,2567,0.004438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,13,0.034456,153592,TRUE,FALSE,2034,2567,2034,2567,0.002549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,14,0.0,921156,NONE,FALSE,2034,2567,744,1519,0.009849,0,1192,0,61,16,0,0,0,0,0,0,0,5,2,0,0,0,84
ASLink-PT-04b,15,0.061865,153592,FALSE,FALSE,2034,2567,2034,2567,0.002539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,16,0.0,20332,FALSE,TRUE,2034,2567,755,1527,0.009635,0,1183,0,60,15,0,0,0,0,0,0,0,6,2,0,0,0,85
ASLink-PT-04b,2,0.0,22960,TRUE,TRUE,2034,2567,2034,2567,0.002553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,3,0.0,23232,FALSE,TRUE,2034,2567,2034,2567,0.004441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,4,0.0,22356,FALSE,TRUE,2034,2567,2034,2567,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,5,0.0,1647356,NONE,FALSE,2034,2567,2034,2567,0.002539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,6,0.068176,153600,FALSE,FALSE,2034,2567,2034,2567,0.004424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,7,0.0,1306652,NONE,FALSE,2034,2567,2034,2567,0.002562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,8,0.0,22944,FALSE,TRUE,2034,2567,2034,2567,0.002545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04b,9,0.0,19584,TRUE,TRUE,2034,2567,748,1523,0.005943,0,1189,0,61,16,0,0,0,0,0,0,0,5,2,0,0,0,83
ASLink-PT-05a,1,0.082022,152628,TRUE,FALSE,1211,1827,1191,1808,0.003274,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,10,0.042581,152540,TRUE,FALSE,1211,1827,1191,1808,0.004176,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,11,0.0,1989508,NONE,FALSE,1211,1827,1191,1808,0.005001,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,12,0.04117,152512,TRUE,FALSE,1211,1827,1191,1808,0.004239,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,13,0.044442,152660,FALSE,FALSE,1211,1827,1191,1808,0.003247,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,14,0.0,17608,FALSE,TRUE,1211,1827,864,1544,0.008099,0,251,0,69,19,0,0,0,0,0,0,0,0,2,0,0,0,18
ASLink-PT-05a,15,0.0,20240,FALSE,TRUE,1211,1827,1191,1808,0.004889,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,16,0.034134,152708,TRUE,FALSE,1211,1827,1191,1808,0.00325,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,2,0.0,21192,TRUE,TRUE,1211,1827,1191,1808,0.004271,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,3,0.0,20120,FALSE,TRUE,1211,1827,863,1543,0.00536,0,252,0,69,19,0,0,0,0,0,0,0,0,2,0,0,0,18
ASLink-PT-05a,4,0.04668,152716,FALSE,FALSE,1211,1827,1191,1808,0.00337,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,5,0.0,17604,TRUE,TRUE,1211,1827,862,1542,0.005327,0,253,0,69,19,0,0,0,0,0,0,0,0,2,0,0,0,18
ASLink-PT-05a,6,0.0,1941236,NONE,FALSE,1211,1827,1191,1808,0.004806,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,7,0.04346,152548,FALSE,FALSE,1211,1827,1191,1808,0.00325,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,8,0.001764,20980,FALSE,FALSE,1211,1827,1191,1808,0.004103,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05a,9,0.040228,152776,FALSE,FALSE,1211,1827,1191,1808,0.004854,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASLink-PT-05b,1,0.0,19996,FALSE,TRUE,2430,3040,882,1779,0.009796,0,1431,0,73,19,0,0,0,0,0,0,0,2,2,0,0,0,95
ASLink-PT-05b,10,0.043479,156056,TRUE,FALSE,2430,3040,2430,3040,0.002939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-05b,11,0.0,24372,FALSE,TRUE,2430,3040,2430,3040,0.002945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-05b,12,0.0,17716,FALSE,TRUE,2430,3040,881,1710,0.006901,0,1430,0,75,19,0,0,0,0,0,0,0,6,2,0,0,0,82
ASLink-PT-05b,13,0.044571,154516,TRUE,FALSE,2430,3040,2430,3040,0.005108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-05b,14,0.300623,20864,FALSE,FALSE,2430,3040,865,1552,0.006761,0,1406,96,77,20,0,0,0,0,0,0,0,0,1,0,0,0,21
ASLink-PT-05b,15,0.076218,156056,FALSE,FALSE,2430,3040,2430,3040,0.002951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
